id,Ta,Tad,Tfw,Tfd,Amount
1,0.57948,0.447607,0.225025,0.544455,$63070.68
2,0.577488,0.775646,0.65989,0.580707,$96854.28
3,0.67144,0.98267,0.490208,0.389828,$77685.75
4,0.059046,0.412407,0.516043,0.860912,$64418.39
5,0.692631,0.168257,0.372697,0.050747,$13996.36
6,0.50409,0.240111,0.531849,0.771457,$35832.54
7,0.356469,0.543647,0.015549,0.852885,$53754.13
8,0.755103,0.13927,0.077649,0.018429,$15171.25
9,0.061806,0.787381,0.109397,0.278746,$94396.09
10,0.027212,0.227841,0.818138,0.860554,$99446.48
11,0.503294,0.024618,0.314933,0.488437,$52564.37
12,0.170278,0.393938,0.187398,0.146135,$67558.79
13,0.280792,0.130673,0.061689,0.902612,$98170.64
14,0.24557,0.093914,0.040672,0.508192,$12208.56
15,0.391438,0.920673,0.676891,0.160109,$15633.61
16,0.024385,0.221004,0.72613,0.156321,$15740.23
17,0.546338,0.673345,0.183067,0.113715,$94878.54
18,0.241909,0.827042,0.995275,0.746293,$82723.56
19,0.36693,0.341904,0.468748,0.582173,$94228.29
20,0.060525,0.240915,0.04483,0.35239,$49677.39
21,0.387845,0.641148,0.156962,0.000252,$20242.31
22,0.031265,0.714026,0.613241,0.499513,$81318.37
23,0.049718,0.660276,0.38122,0.618171,$57895.81
24,0.315082,0.268484,0.493099,0.770392,$71493.35
25,0.509771,0.479496,0.200658,0.285061,$34519.00
26,0.798213,0.579836,0.970951,0.847154,$54324.61
27,0.469498,0.707605,0.92145,0.834072,$54597.27
28,0.409945,0.089221,0.822461,0.616745,$11692.30
29,0.174874,0.527976,0.228124,0.487994,$48456.03
30,0.392224,0.433086,0.627159,0.046339,$58452.41
31,0.795276,0.201954,0.579305,0.153931,$61428.96
32,0.303986,0.428118,0.853031,0.444184,$72434.67
33,0.432848,0.366569,0.678677,0.791623,$13931.04
34,0.447589,0.146757,0.546117,0.746172,$17649.02
35,0.172633,0.624321,0.793184,0.766265,$98230.57
36,0.646246,0.365197,0.362252,0.101197,$59770.76
37,0.533863,0.598897,0.525609,0.400719,$27921.94
38,0.002224,0.575076,0.192535,0.205652,$77431.17
39,0.114082,0.653895,0.987108,0.399667,$68918.03
40,0.648888,0.406002,0.176012,0.566049,$19409.91
41,0.470596,0.34759,0.622918,0.70508,$33949.01
42,0.837605,0.649308,0.230284,0.161704,$71508.16
43,0.842665,0.343912,0.905137,0.8395,$80280.33
44,0.668523,0.76052,0.886898,0.895145,$28648.41
45,0.559556,0.334888,0.056242,0.782301,$86860.96
46,0.299772,0.708116,0.929101,0.060043,$52309.79
47,0.585534,0.435107,0.654713,0.762945,$33725.47
48,0.498348,0.2109,0.803474,0.215387,$77700.14
49,0.162398,0.050627,0.37916,0.341426,$36840.71
50,0.932313,0.581192,0.995183,0.033479,$80011.77
51,0.013867,0.103667,0.641367,0.073256,$19377.29
52,0.003687,0.507518,0.602605,0.093193,$80971.76
53,0.173597,0.455522,0.153586,0.969631,$69530.34
54,0.797583,0.828834,0.653879,0.382754,$73903.85
55,0.26075,0.859824,0.541839,0.798472,$43467.54
56,0.601792,0.947368,0.770008,0.082175,$16434.23
57,0.719112,0.82378,0.601474,0.470595,$84317.21
58,0.371491,0.079492,0.869075,0.394408,$46831.32
59,0.720158,0.946883,0.40675,0.476285,$49455.54
60,0.129165,0.175948,0.566167,0.330655,$89590.30
61,0.923571,0.495529,0.404578,0.31477,$27354.49
62,0.325714,0.18839,0.412788,0.952631,$40469.80
63,0.587961,0.459072,0.064502,0.936186,$56114.74
64,0.327197,0.362292,0.625975,0.494141,$92402.24
65,0.106168,0.957531,0.057637,0.726523,$24684.50
66,0.82958,0.377889,0.397117,0.382381,$77856.32
67,0.327335,0.189794,0.444609,0.536513,$96159.38
68,0.376743,0.917012,0.685496,0.646175,$47838.01
69,0.386613,0.250673,0.380102,0.397716,$64264.75
70,0.229868,0.444734,0.213321,0.241357,$12689.50
71,0.615733,0.694561,0.067222,0.306994,$78838.24
72,0.076769,0.736735,0.563718,0.601006,$26536.73
73,0.733233,0.549557,0.37212,0.825207,$35708.81
74,0.006625,0.630853,0.415173,0.451656,$68471.21
75,0.899933,0.913916,0.498067,0.108543,$82735.50
76,0.236172,0.677799,0.631163,0.42211,$23855.95
77,0.54407,0.441947,0.476039,0.381511,$9772.50
78,0.61155,0.501884,0.717365,0.117755,$50998.86
79,0.286374,0.542608,0.163752,0.267946,$28964.38
80,0.82237,0.862199,0.753266,0.228023,$45212.04
81,0.95259,0.565306,0.817952,0.266838,$47641.61
82,0.487966,0.263031,0.873335,0.713882,$69135.71
83,0.414008,0.873995,0.629282,0.190439,$31003.03
84,0.915636,0.478383,0.168308,0.44571,$32246.64
85,0.123188,0.002016,0.983291,0.48298,$16310.92
86,0.404299,0.110716,0.317259,0.366053,$44012.31
87,0.170762,0.898083,0.068983,0.909661,$46682.07
88,0.363132,0.201697,0.823245,0.316587,$91604.93
89,0.588806,0.545985,0.47333,0.869385,$77724.21
90,0.41579,0.371337,0.126926,0.343862,$16836.44
91,0.426438,0.552531,0.155464,0.165527,$84687.48
92,0.07318,0.931768,0.525728,0.722276,$67153.51
93,0.125977,0.482612,0.363051,0.673183,$74427.01
94,0.522856,0.123116,0.934204,0.255736,$85455.64
95,0.625559,0.854256,0.97631,0.531938,$59547.09
96,0.228117,0.3215,0.651158,0.351898,$84618.43
97,0.371102,0.758044,0.979801,0.130769,$79965.22
98,0.387981,0.625396,0.78488,0.583664,$11483.07
99,0.354246,0.36112,0.4944,0.355477,$51881.01
100,0.648767,0.610389,0.128828,0.550009,$15909.35
101,0.372146,0.595565,0.899492,0.691063,$90330.58
102,0.304939,0.9284,0.061305,0.450767,$61163.92
103,0.732956,0.063159,0.973941,0.976605,$74982.88
104,0.723787,0.581735,0.627125,0.419692,$45830.76
105,0.730593,0.509536,0.476995,0.085107,$53345.71
106,0.254837,0.878107,0.493809,0.492831,$71094.77
107,0.292165,0.04976,0.06969,0.191568,$26997.60
108,0.271929,0.474695,0.442143,0.708253,$77488.00
